VariableName,Title,Unit,Description,DataType,PermittedValues,PVDescribed,MinimumValue,MaximumValue,Comments
ODCAccessionNbr,ODC accession number,NA,ODC-SCI assigned accession number (dataset ID); automatically assigned at time of dataset creation,Numeric,NA,NA,NA,NA,
DOI,DOI,NA,DOI assigned to dataset; assigned by ODC-SCI when approved for publication,String,NA,NA,NA,NA,
DatasetTitle,Dataset title,NA,Published dataset title,String,NA,NA,NA,NA,
DatasetTyp,Dataset type,NA,Identifies type of data contained in dataset; datasets may include one or more types of data [Permitted Values: Animal: data produced from animal subjects. Clinical: data produced from human subjects (deidentified). In vitro: data produced from cell culture. Other: data produced from other source (i.e. synthetic and/or derived from previously published source).],Categorical,Animal; Clinical; In vitro; Other,Animal: data produced from animal subjects. Clinical: data produced from human subjects (deidentified). In vitro: data produced from cell culture. Other: data produced from other source (i.e. synthetic and/or derived from previously published source).,NA,NA,
Year,Publication year,year,Calendar year dataset was published on ODC-SCI,Ordinal,NA,NA,2018,2026,
DatePublished,Publication date,NA,"Date of publication to ODC-SCI Public Space (i.e., activation of DOI by Laboratory PI)",Date,,,,,
Laboratory,Laboratory name,NA,Name of the verified laboratory on ODC-SCI that published the dataset,String,NA,NA,NA,NA,
StudyLeader,Study leader,NA,Name of person(s) responsible for overseeing the project(s) that created the data,String,NA,NA,NA,NA,
SubjectNbrs,Number of unique subjects in dataset,NA,Total number of unique subjects reported in dataset (animal and/or deidentified human subjects); unique subject IDs associated with In vitro (cell) data are EXCLUDED from this count,Numeric,NA,NA,1,1125,
SpeciesTyp,Species type(s) in dataset,NA,Name of species type(s) reported in dataset [Permitted Values: Cat; Human (deidentified); Monkey; Mouse; Pig; Rat],Categorical,Cat; Human (deidentified); Monkey; Mouse; Pig; Rat,Cat. Human (deidentified). Monkey. Mouse. Pig. Rat.,NA,NA,
SpeciesStrainTyp,Strain type(s) in dataset,NA,Name of strain type(s) reported in dataset,String,NA,NA,NA,NA,
SexTyp,Sex type(s) in dataset,NA,Sex type(s) reported in dataset,Categorical,Female; Male; Unknown; Not reported,Female. Male. Unknown: data marked unknown by author. Not reported: data not reported and/or variable missing from dataset,NA,NA,
AnimalSourceNam,Vendor or origin of the subjects,NA,Vendor or origin of research subjects reported in dataset,String,NA,NA,NA,NA,
AgeVal,Age range of subjects,NA,"Age range of subjects in the dataset as reported by the authors in the narrative summary and/or subject data file; timing of reported age is NOT standardised across datasets to a single specific experimental time/milestone (e.g., injury, treatment, etc.)",String,NA,NA,NA,NA,
BodyWgtMeasrVal,Weight range of subjects,NA,"Weight range of subjects reported in dataset; timing of reported weight measurement is NOT standardised across datasets to a single specific experimental time/milestone (e.g., injury, treatment, etc.)",String,NA,NA,NA,NA,
InjuryTyp,Type or model of injury,NA,Type(s) or model(s) of spinal cord injury reported in the dataset [Permitted Values: Contusion; Crush; Dorsal column lesion; DLQ; Hemisection; SNI; Transection; Neurologically intact],Categorical,Contusion; Crush; Dorsal column lesion; DLQ; Hemisection; SNI; Transection,Contusion. Crush. Dorsal column lesion. DLQ: Dorsolateral Quadrant. Hemisection. SNI: Spared Nerve Injury. Transection,NA,NA,
InjuryLevelAnatomical,Anatomical level of spinal cord injury,NA,Anatomical level of spinal cord injury [Permitted Values: Cervical; Thoracic; Lumbar],Categorical,Cervical; Thoracic; Lumbar,Cervical. Thoracic. Lumbar.,NA,NA,
InjuryLevelSpinal,Spinal cord level of the injury,NA,Spinal cord level at which the injury was performed including segment and number (e.g. C5),String,NA,NA,NA,NA,
InjuryLaterality,Injury laterality,NA,Laterality of planned SCI lesion (i.e. the side that was affected during surgical induction of SCI),String,NA,NA,NA,NA,
InjuryDevice,Device used for injury,NA,Name of the device(s) used for the injury ,String,NA,NA,NA,NA,
