ODCAccessionNbr,DOI,DatasetTitle,DatasetTyp,Year,DatePublished,Laboratory,StudyLeader,SubjectNbrs,SpeciesTyp,SpeciesStrainTyp,SexTyp,AnimalSourceNam,AgeVal,BodyWgtMeasrVal,InjuryTyp,InjuryLevelAnatomical,InjuryLevelSpinal,InjuryLaterality,InjuryDevice,InjurySeverity,InjuryContusionForce,InjuryContusionDataAvail,Locomotion,OtherBehaviour,InterventionTyp,InterventionAgent,AuthorKeywords,RelatedDatasets,Funders,CoDES,Purpose,Notes
26,http://doi.org/10.7295/W9T72FMZ,"Cervical (C5), unilateral spinal cord injury with diverse injury modalities, multiple behavioral outcomes, and histopathology",Animal,2018,2018-11-04,Ferguson Lab,Not reported,159,Rat,Long Evans,Female; Not reported,Not reported,75-83 days,Not reported,Hemisection; Contusion,Cervical,C5,Unilateral,Scalpel; NYU impactor; Infinite Horizons impactor,Not reported,75; 100,Force; Displacement; Velocity,BBB,NA,NA,NA,bioinformatics; rodents; syndromics; translation,NA,Craig H. Neilsen Foundation; Department of Defense (USA); International Spinal Research Trust; National Institutes of Health; NYSCoRE; Wings for Life,pre,Multivariate validation study of unilateral cervical contusion (hemi-contusion) model-development efforts,
212,http://doi.org/10.7295/W9HQ3X20,T10 lateral hemisection spinal cord injury with multiple histological and behavioral outcomes,Animal,2019,2019-08-19,He Lab,Not reported,119,Mouse,Not reported,Female; Male,Not reported,8-12 weeks,Not reported,Hemisection; Ischemic stroke; Hindlimb CNS ablation,Thoracic,T10,Lateral,Not reported,Not reported,NA,NA,Ladder walking,SPRGR,Drug/agent,AAV assisted delivery of insulin-like growth factor 1 (IGF-1) and osteopontin (OPN),osteopontin (OPN); insulin-like growth factor 1 (IGF-1); axon regeneration; axon sprouting; functional recovery,NA,Craig H. Neilsen Foundation; Dr. Miriam and Sheldon G. Adelson Medical Research Foundation; Hong Kong Spinal Cord Injury Fund; National Institutes of Health; National Institute of Neurological Disorders and Stroke; Wings for Life,pre,"A major hurdle for functional recovery after spinal cord injury is the limited re- growth of the axons in the corticospinal tract (CST) that originate in the motor cortex and innervate the spinal cord. In this study, we tested whether post-lesional AAV-assisted co- expression of two soluble proteins, namely insulin-like growth factor 1 (IGF1) and osteopontin (OPN), in cortical neurons leads to CST regrowth and CST-dependent functional recovery.",
419,http://dx.doi.org/10.34945/F5QP4H,Data for manuscript: Delayed short-term tamoxifen treatment does not promote remyelination or neuron sparing after spinal cord injury,Animal,2020,2020-06-24,Dana McTigue Lab,Not reported,39,Mouse,C57BL6,Female; Male,Not reported,10-12 weeks,17-30 g,Contusion,Thoracic,T9,Not reported,Not reported,Moderate,75,Force; Displacement,BMS; Ladder walking,SPRGR,Drug/agent,tamoxifen,myelination; spinal cord injury; tamoxifen,NA,Not reported,pre,"Tamoxifen is widely used to spatially and temporally control gene expression; however, whether tamoxifen has off-target effects remains elusive. Here, we tested whether delayed short-term tamoxifen treatment changed motor and/or anatomical recovery after spinal cord injury.",
432,doi: 10.34945/F54S3W,Repeated measurements of hindlimb CatWalk variables in normal rats,Animal,2020,2020-08-13,Nick Jeffery Lab,Not reported,16,Rat,Sprague-Dawley,Male,Not reported,9 weeks,250-275 g,NA,NA,NA,NA,NA,Not reported,NA,NA,NA,Catwalk,NA,NA,locomotor function; reference change value; variability,NA,The Institute for Rehabilitation and Research Foundation: Mission Connect,pre,To provide a set of reference data for expected variability in hindlimb locomotor outcomes for normal young adult rats using the Catwalk.,
458,http://doi.org/10.34945/F59885,Behavior and histopathology after single-session cortical electrical stimulation and rehabilitative forelimb motor training in cervical spinal cord injury in females rats,Animal,2020,2020-11-17,Karim Fouad,Nicholas Batty,33,Rat,Lewis,Female,Charles River Canada,2 months,180-220 g,DLQ,Cervical,C4,Unilateral - ipsilateral to preferred paw,Not reported,Not reported,NA,NA,NA,SPRGR,Neuromodulation,cortical electrical stimulation,axonal collateral; electrical stimulation; neurite growth; plasticity; spinal cord injury,NA,Canadian Institutes of Health Research,pre,"The aim of the study was to investigate the use of electrical cortical stimulation of injured corticospinal tract as a means to increase the beneficial effects of rehabilitative motor therapy after SCI in rats. The study showed that a single session of electrical stimulation of the injured fibers led to an increase in corticospinal tract (CST) plasticity, and functional recovery after training.",
262,http://doi.org/10.7295/W97942VQ,Data for the manuscript: Fecal Transplant Prevents Gut Dysbiosis and Anxiety-like Behaviour After Spinal Cord Injury in Rats,Animal,2020,2020-12-03,Karim Fouad,Emma Schmidt,57,Rat,Lewis,Female,Not reported,Not reported,180-200 g,Contusion,Cervical,Not reported,Unilateral,Not reported,Not reported,Not reported,NA,NA,Open field; Light-dark box; Cylinder; Elevated plus maze,Fecal microbiota transplant,fecal microbiota transplant,anxiety; dysbiosis; fecal microbiota transplant; spinal cord injury,NA,Canadian Institutes of Health Research; Craig H. Neilsen Foundation,pre,To establish a model of anxiety following a cervical contusion spinal cord injury (SCI) in rats and to determine whether the microbiota play a role in the observed behavioural changes.,
553,http://doi.org/10.34945/F5ZW20,Self-directed reaching and grasping rehabilitation using automatic pellet presentation system after cervical dorsolateral quadrant injury in female rats,Animal,2021,2021-01-14,Keith K Fenrich,Not reported,19,Rat,Lewis,Female,Charles River Canada,Not reported,200-250 g,DLQ,Cervical,C4,Unilateral - ipsilateral to preferred paw,Custom blade,Not reported,NA,NA,NA,SPRGR,NA,NA,animal model; automation; grasping; motor control; neuroplasticity; reaching; rehabilitation training; training intensity,NA,Canadian Institutes of Health Research; Wings for Life,pre,This data was collected as part of a study on the advantages of self-directed rehabilitation reaching and grasping training by using an automatic pellet presentation (APP) system. The goal of the study was to understand the factors that determine better rehabilitation-induced recovery in forelimb motor function after cervical spinal cord injury in rats exposed to the APP training system.,
405,http://doi.org/10.34945/F5QC7J,Acute blood RNA sequencing from SCI human patients,Clinical,2021,2021-01-22,TRACK-SCI,Not reported,48,Human (deidentified),NA,Female; Male,NA,18-89 years,NA,NA,Cervical; Thoracic; Lumbar,C1-L2,NA,NA,Not reported,NA,NA,NA,NA,NA,NA,blood biomarker; clinical research; diagnostic biomarker; RNAseq; spinal cord injury,?,Craig H. Neilsen Foundation; Department of Defense (USA); UCSF SCI Center of Excellence; Wings for Life,pre,"The purpose of this study is to discover, through high throughput methods, blood RNA biomarkers with the ability to diagnose accurately the severity of the spinal cord injury at the acute stage.",
536,http://doi.org/10.34945/F58C7H,Surgical Blood Pressure and Expected Motor Recovery in Individuals with Traumatic Spinal Cord Injury,Clinical,2021,2021-01-22,*no lab listed in metadata,Not reported,25,Human (deidentified),NA,Female; Male,NA,18-74 years,NA,NA,Cervical; Thoracic,Not reported,NA,NA,Not reported,NA,NA,NA,NA,NA,NA,intra-operative MAP; ISNCSCI; mean arterial pressure; motor recovery; spinal cord ischemia; spinal cord injury; trauma,?,Department of Defense (USA): Congressionally Directed Medical Research Program - SCI Research Program; National Institutes of Health; National Institute of Neurological Disorders and Stroke; Wings for Life,pre,Mean arterial blood pressure (MAP) during surgical intervention for individuals with spinal cord injury (SCI) was used to assess associations with motor recovery during the acute phase (post-surgery to rehabilitation discharge).,
457,http://doi.org/10.34945/F5JS3M,"Minocycline treatment for acute cervical spinal cord injury in female rats: behavioural, histopathological and systemic immune effects",Animal,2021,2021-01-22,Karim Fouad,Not reported,36,Rat,Lewis,Female,Not reported,Not reported,200-250 g,Contusion,Cervical,C5,Unilateral,Not reported,Moderate,125,NA,NA,Open field; Light-dark box; Cylinder; Elevated plus maze,Drug/agent,minocycline,inflammation; minocycline; spinal cord injury,454,Craig H. Neilsen Foundation,pre,Minocycline has been widely studied for its local anti-inflammatory properties; however little is known about its antibiotic and systemic immune effects following spinal cord injury (SCI). The aim of the present study is to elucidate multiple system-wide changes involving the microbiota-immune axis induced by minocycline treatment in a rodent model of cervical contusion SCI (unilateral contusion 125 kdyns at an angle of 15 degrees to the right at C5).,
454,http://doi.org/10.34945/F5F30N,Minocycline treatment for acute cervical spinal cord injury in female rats: microbiota composition,Animal,2021,2021-01-22,Karim Fouad,Not reported,36,Rat,Lewis,Female,Not reported,Not reported,200-250 g,Contusion,Cervical,C5,Unilateral,Not reported,Moderate,125,NA,NA,NA,Drug/agent,minocycline,minocycline; spinal cord injury; 16S rRNA,457,Craig H. Neilsen Foundation,pre,Minocycline has been widely studied for its local anti-inflammatory properties; however little is known about its antibiotic and systemic immune effects following spinal cord injury (SCI). The aim of the present study is to elucidate multiple system-wide changes involving the microbiota-immune axis induced by minocycline treatment in a rodent model of cervical contusion SCI (unilateral contusion 125 kdyns at an angle of 15 degrees to the right at C5).,
